# Population by region and gSSP SSP in future periods
scenario,GCAM_region_ID,year,value
SSP3,27,2056,405660.84900784935
SSP3,27,2057,409152.68763232045
SSP3,27,2058,412644.5262567915
SSP3,27,2059,416136.3648812626
SSP3,27,2060,419628.2035057337
SSP3,27,2061,422922.3399235321
SSP3,27,2062,426216.4763413304
SSP3,27,2063,429510.61275912874
SSP3,27,2064,432804.74917692714
SSP3,27,2065,436098.88559472555
SSP3,27,2066,439296.95347860124
SSP3,27,2067,442495.0213624768
SSP3,27,2068,445693.0892463525
SSP3,27,2069,448891.1571302281
SSP3,27,2070,452089.2250141038
SSP3,27,2071,455228.56782638025
SSP3,27,2072,458367.9106386567
SSP3,27,2073,461507.25345093315
SSP3,27,2074,464646.5962632096
SSP3,27,2075,467785.9390754859
SSP3,27,2076,470882.56883725704
SSP3,27,2077,473979.1985990281
SSP3,27,2078,477075.8283607991
SSP3,27,2079,480172.45812257024
SSP3,27,2080,483269.08788434125
SSP3,27,2081,486344.74193187803
SSP3,27,2082,489420.3959794148
SSP3,27,2083,492496.0500269516
SSP3,27,2084,495571.70407448837
SSP3,27,2085,498647.35812202515
SSP3,27,2086,501694.1315424883
SSP3,27,2087,504740.9049629514
SSP3,27,2088,507787.6783834145
SSP3,27,2089,510834.4518038776
SSP3,27,2090,513881.22522434074
SSP3,27,2091,516903.1084990359
SSP3,27,2092,519924.9917737311
SSP3,27,2093,522946.87504842615
SSP3,27,2094,525968.7583231214
SSP3,27,2095,528990.6415978165
SSP3,27,2096,531955.1598046728
SSP3,27,2097,534919.6780115291
SSP3,27,2098,537884.1962183854
SSP3,27,2099,540848.7144252417
SSP3,27,2100,543813.232632098
SSP3,28,2016,50857.235723166334
SSP3,28,2017,50891.378446332674
SSP3,28,2018,50925.52116949902
SSP3,28,2019,50959.66389266536
SSP3,28,2020,50993.806615831694
SSP3,28,2021,50943.992274125085
SSP3,28,2022,50894.177932418475
SSP3,28,2023,50844.36359071186
SSP3,28,2024,50794.54924900526
SSP3,28,2025,50744.73490729864
SSP3,28,2026,50606.73611995619
SSP3,28,2027,50468.73733261374
SSP3,28,2028,50330.7385452713
SSP3,28,2029,50192.73975792885
SSP3,28,2030,50054.740970586405
SSP3,28,2031,49831.59735504818
SSP3,28,2032,49608.453739509954
SSP3,28,2033,49385.31012397172
SSP3,28,2034,49162.166508433496
SSP3,28,2035,48939.02289289527
SSP3,28,2036,48622.61525928555
SSP3,28,2037,48306.20762567582
SSP3,28,2038,47989.7999920661
SSP3,28,2039,47673.39235845638
SSP3,28,2040,47356.984724846654
SSP3,28,2041,46950.458905678606
SSP3,28,2042,46543.93308651055
SSP3,28,2043,46137.4072673425
SSP3,28,2044,45730.881448174456
SSP3,28,2045,45324.3556290064
SSP3,28,2046,44842.1394431483
SSP3,28,2047,44359.923257290204
SSP3,28,2048,43877.70707143211
SSP3,28,2049,43395.49088557401
SSP3,28,2050,42913.274699715905
SSP3,28,2051,42386.575069864986
SSP3,28,2052,41859.87544001407
SSP3,28,2053,41333.17581016315
SSP3,28,2054,40806.47618031223
SSP3,28,2055,40279.776550461305
SSP3,28,2056,39737.06304909889
SSP3,28,2057,39194.34954773647
SSP3,28,2058,38651.63604637406
SSP3,28,2059,38108.92254501164
SSP3,28,2060,37566.20904364923
SSP3,28,2061,37026.28520866554
SSP3,28,2062,36486.361373681866
SSP3,28,2063,35946.437538698185
SSP3,28,2064,35406.5137037145
SSP3,28,2065,34866.58986873082
SSP3,28,2066,34341.050519951845
SSP3,28,2067,33815.511171172875
SSP3,28,2068,33289.9718223939
SSP3,28,2069,32764.432473614925
SSP3,28,2070,32238.893124835955
SSP3,28,2071,31734.453065117516
SSP3,28,2072,31230.013005399072
SSP3,28,2073,30725.57294568064
SSP3,28,2074,30221.132885962197
SSP3,28,2075,29716.692826243758
SSP3,28,2076,29236.994401599026
SSP3,28,2077,28757.2959769543
SSP3,28,2078,28277.59755230957
SSP3,28,2079,27797.899127664845
SSP3,28,2080,27318.20070302012
SSP3,28,2081,26863.736848563603
SSP3,28,2082,26409.272994107097
SSP3,28,2083,25954.80913965058
SSP3,28,2084,25500.345285194075
SSP3,28,2085,25045.881430737558
SSP3,28,2086,24621.514279853123
SSP3,28,2087,24197.147128968685
SSP3,28,2088,23772.77997808425
SSP3,28,2089,23348.412827199812
SSP3,28,2090,22924.045676315374
SSP3,28,2091,22536.334678629602
SSP3,28,2092,22148.623680943827
SSP3,28,2093,21760.91268325805
SSP3,28,2094,21373.201685572276
SSP3,28,2095,20985.4906878865
SSP3,28,2096,20636.366027874745
SSP3,28,2097,20287.24136786299
SSP3,28,2098,19938.116707851234
SSP3,28,2099,19588.992047839478
SSP3,28,2100,19239.867387827722
SSP3,29,2016,417566.709840134
SSP3,29,2017,422392.694680268
SSP3,29,2018,427218.67952040205
SSP3,29,2019,432044.66436053603
SSP3,29,2020,436870.6492006701
SSP3,29,2021,441628.21980060375
SSP3,29,2022,446385.7904005374
SSP3,29,2023,451143.36100047105
SSP3,29,2024,455900.93160040467
SSP3,29,2025,460658.50220033835
SSP3,29,2026,465142.0622559389
SSP3,29,2027,469625.6223115395
SSP3,29,2028,474109.18236714
SSP3,29,2029,478592.7424227407
SSP3,29,2030,483076.30247834115
SSP3,29,2031,486985.49906730163
SSP3,29,2032,490894.69565626205
SSP3,29,2033,494803.89224522247
SSP3,29,2034,498713.0888341829
SSP3,29,2035,502622.2854231433
SSP3,29,2036,506099.99244444486
SSP3,29,2037,509577.6994657465
SSP3,29,2038,513055.406487048
SSP3,29,2039,516533.11350834963
SSP3,29,2040,520010.8205296512
SSP3,29,2041,523183.35933936335
SSP3,29,2042,526355.8981490756
SSP3,29,2043,529528.4369587878
SSP3,29,2044,532700.9757685
SSP3,29,2045,535873.5145782122
SSP3,29,2046,538881.5137098889
SSP3,29,2047,541889.5128415657
SSP3,29,2048,544897.5119732424
SSP3,29,2049,547905.5111049192
SSP3,29,2050,550913.510236596
SSP3,29,2051,553683.7583578238
SSP3,29,2052,556454.0064790518
SSP3,29,2053,559224.2546002797
SSP3,29,2054,561994.5027215077
SSP3,29,2055,564764.7508427356
SSP3,29,2056,567315.0846631561
SSP3,29,2057,569865.4184835764
SSP3,29,2058,572415.7523039968
SSP3,29,2059,574966.0861244171
SSP3,29,2060,577516.4199448376
SSP3,29,2061,579828.3751629754
SSP3,29,2062,582140.3303811133
SSP3,29,2063,584452.2855992512
SSP3,29,2064,586764.2408173891
SSP3,29,2065,589076.1960355269
SSP3,29,2066,591264.965925834
SSP3,29,2067,593453.735816141
SSP3,29,2068,595642.5057064482
SSP3,29,2069,597831.2755967552
SSP3,29,2070,600020.0454870623
SSP3,29,2071,602157.1312542332
SSP3,29,2072,604294.2170214042
SSP3,29,2073,606431.3027885751
SSP3,29,2074,608568.388555746
SSP3,29,2075,610705.4743229168
SSP3,29,2076,612863.3154472444
SSP3,29,2077,615021.156571572
SSP3,29,2078,617178.9976958996
SSP3,29,2079,619336.8388202271
SSP3,29,2080,621494.6799445546
SSP3,29,2081,623721.1734371037
SSP3,29,2082,625947.6669296528
SSP3,29,2083,628174.160422202
SSP3,29,2084,630400.653914751
SSP3,29,2085,632627.1474073002
SSP3,29,2086,634901.6494217628
SSP3,29,2087,637176.1514362255
SSP3,29,2088,639450.6534506881
SSP3,29,2089,641725.1554651508
SSP3,29,2090,643999.6574796136
SSP3,29,2091,646309.7058269957
SSP3,29,2092,648619.7541743778
SSP3,29,2093,650929.80252176
SSP3,29,2094,653239.8508691421
SSP3,29,2095,655549.8992165242
SSP3,29,2096,657861.8198013535
SSP3,29,2097,660173.7403861828
SSP3,29,2098,662485.660971012
SSP3,29,2099,664797.5815558414
SSP3,29,2100,667109.5021406705
SSP3,30,2016,23557.477000000003
SSP3,30,2017,23557.477000000003
SSP3,30,2018,23557.477000000003
SSP3,30,2019,23557.477000000003
SSP3,30,2020,23557.477000000003
SSP3,30,2021,23557.477000000003
SSP3,30,2022,23557.477000000003
SSP3,30,2023,23557.477000000003
SSP3,30,2024,23557.477000000003
SSP3,30,2025,23557.477000000003
SSP3,30,2026,23557.477000000003
SSP3,30,2027,23557.477000000003
SSP3,30,2028,23557.477000000003
SSP3,30,2029,23557.477000000003
SSP3,30,2030,23557.477000000003
SSP3,30,2031,23557.477000000003
SSP3,30,2032,23557.477000000003
SSP3,30,2033,23557.477000000003
SSP3,30,2034,23557.477000000003
SSP3,30,2035,23557.477000000003
SSP3,30,2036,23557.477000000003
SSP3,30,2037,23557.477000000003
SSP3,30,2038,23557.477000000003
SSP3,30,2039,23557.477000000003
SSP3,30,2040,23557.477000000003
SSP3,30,2041,23557.477000000003
SSP3,30,2042,23557.477000000003
SSP3,30,2043,23557.477000000003
SSP3,30,2044,23557.477000000003
SSP3,30,2045,23557.477000000003
SSP3,30,2046,23557.477000000003
SSP3,30,2047,23557.477000000003
SSP3,30,2048,23557.477000000003
SSP3,30,2049,23557.477000000003
SSP3,30,2050,23557.477000000003
SSP3,30,2051,23557.477000000003
SSP3,30,2052,23557.477000000003
SSP3,30,2053,23557.477000000003
SSP3,30,2054,23557.477000000003
SSP3,30,2055,23557.477000000003
SSP3,30,2056,23557.477000000003
SSP3,30,2057,23557.477000000003
SSP3,30,2058,23557.477000000003
SSP3,30,2059,23557.477000000003
SSP3,30,2060,23557.477000000003
SSP3,30,2061,23557.477000000003
SSP3,30,2062,23557.477000000003
SSP3,30,2063,23557.477000000003
SSP3,30,2064,23557.477000000003
SSP3,30,2065,23557.477000000003
SSP3,30,2066,23557.477000000003
SSP3,30,2067,23557.477000000003
SSP3,30,2068,23557.477000000003
SSP3,30,2069,23557.477000000003
SSP3,30,2070,23557.477000000003
SSP3,30,2071,23557.477000000003
SSP3,30,2072,23557.477000000003
SSP3,30,2073,23557.477000000003
SSP3,30,2074,23557.477000000003
SSP3,30,2075,23557.477000000003
SSP3,30,2076,23557.477000000003
SSP3,30,2077,23557.477000000003
SSP3,30,2078,23557.477000000003
SSP3,30,2079,23557.477000000003
SSP3,30,2080,23557.477000000003
SSP3,30,2081,23557.477000000003
SSP3,30,2082,23557.477000000003
SSP3,30,2083,23557.477000000003
SSP3,30,2084,23557.477000000003
SSP3,30,2085,23557.477000000003
SSP3,30,2086,23557.477000000003
SSP3,30,2087,23557.477000000003
SSP3,30,2088,23557.477000000003
SSP3,30,2089,23557.477000000003
SSP3,30,2090,23557.477000000003
SSP3,30,2091,23557.477000000003
SSP3,30,2092,23557.477000000003
SSP3,30,2093,23557.477000000003
SSP3,30,2094,23557.477000000003
SSP3,30,2095,23557.477000000003
SSP3,30,2096,23557.477000000003
SSP3,30,2097,23557.477000000003
SSP3,30,2098,23557.477000000003
SSP3,30,2099,23557.477000000003
SSP3,30,2100,23557.477000000003
SSP3,31,2016,43479.480419034975
SSP3,31,2017,43883.54483806995
SSP3,31,2018,44287.60925710492
SSP3,31,2019,44691.6736761399
SSP3,31,2020,45095.73809517487
SSP3,31,2021,45511.58585724925
SSP3,31,2022,45927.43361932362
SSP3,31,2023,46343.281381397996
SSP3,31,2024,46759.129143472375
SSP3,31,2025,47174.97690554674
SSP3,31,2026,47593.66294113126
SSP3,31,2027,48012.34897671577
SSP3,31,2028,48431.035012300286
SSP3,31,2029,48849.7210478848
SSP3,31,2030,49268.40708346933
SSP3,31,2031,49670.48539761908
SSP3,31,2032,50072.563711768846
SSP3,31,2033,50474.642025918605
SSP3,31,2034,50876.72034006837
SSP3,31,2035,51278.79865421813
SSP3,31,2036,51672.01228972046
SSP3,31,2037,52065.22592522279
SSP3,31,2038,52458.43956072512
SSP3,31,2039,52851.65319622745
SSP3,31,2040,53244.86683172978
SSP3,31,2041,53633.8174571659
SSP3,31,2042,54022.76808260201
SSP3,31,2043,54411.71870803812
SSP3,31,2044,54800.66933347424
SSP3,31,2045,55189.61995891035
SSP3,31,2046,55578.010180234975
SSP3,31,2047,55966.4004015596
SSP3,31,2048,56354.790622884226
SSP3,31,2049,56743.18084420885
SSP3,31,2050,57131.57106553348
SSP3,31,2051,57507.38717934586
SSP3,31,2052,57883.20329315826
SSP3,31,2053,58259.01940697066
SSP3,31,2054,58634.83552078305
SSP3,31,2055,59010.651634595444
SSP3,31,2056,59370.067476463126
SSP3,31,2057,59729.48331833079
SSP3,31,2058,60088.899160198474
SSP3,31,2059,60448.315002066156
SSP3,31,2060,60807.73084393383
SSP3,31,2061,61154.01807771754
SSP3,31,2062,61500.30531150125
SSP3,31,2063,61846.59254528496
SSP3,31,2064,62192.87977906867
SSP3,31,2065,62539.167012852384
SSP3,31,2066,62877.56659566401
SSP3,31,2067,63215.96617847561
SSP3,31,2068,63554.36576128724
SSP3,31,2069,63892.76534409885
SSP3,31,2070,64231.16492691047
SSP3,31,2071,64570.280929548906
SSP3,31,2072,64909.39693218734
SSP3,31,2073,65248.51293482576
SSP3,31,2074,65587.62893746421
SSP3,31,2075,65926.74494010262
