# EIA international shipping data converted to EJ, aggregated by country, 
# adding USSR data to Russia
Country,year,value,iso,GCAM_region_ID
Lesotho,1987,0,lso,4
Liberia,1987,0.0028417188974832744,lbr,5
Libya,1987,0.009821326635751032,lby,3
Lithuania,1987,0,ltu,12
Luxembourg,1987,0,lux,13
Macau,1987,0,mac,11
Macedonia,1987,0,mkd,15
Madagascar,1987,4.242447751370674e-4,mdg,2
Malawi,1987,4.002082439678284e-4,mwi,4
Malaysia,1987,0.013927367072736275,mys,29
Maldives,1987,0,mdv,27
Mali,1987,8.004164879356568e-4,mli,5
Malta,1987,0.0030496348920971915,mlt,12
Martinique,1987,4.002082439678284e-4,mtq,9
Mauritania,1987,8.004164879356568e-4,mrt,5
Mauritius,1987,0.002873567301282516,mus,2
Mexico,1987,0.021036772079317922,mex,20
Micronesia,1987,0,fsm,29
Moldova,1987,0,mda,14
Mongolia,1987,6.003123659517426e-4,mng,10
Montenegro,1987,0,mne,15
Montserrat,1987,4.088127212131367e-5,msr,9
Morocco,1987,4.002082439678284e-4,mar,3
Mozambique,1987,0.0030015618297587134,moz,4
Namibia,1987,0,nam,4
Nauru,1987,2.001041219839142e-4,nru,29
Nepal,1987,0,npl,27
Netherlands,1987,0.38991459949460183,nld,13
Netherlands Antilles,1987,0.0794888085766732,ant,9
New Caledonia,1987,1.2267217947072078e-4,ncl,29
New Zealand,1987,0.007612369421297975,nzl,6
Nicaragua,1987,0,nic,9
Niger,1987,6.003123659517426e-4,ner,5
Nigeria,1987,0.031001116075525928,nga,5
Niue,1987,0,niu,29
Norway,1987,0.013575832804386156,nor,16
Oman,1987,0.0301778648829795,omn,21
Pakistan,1987,0.005026639580767094,pak,22
Palestinian Territories,1987,0,pse,21
Panama,1987,0.016577995547424104,pan,9
Papua New Guinea,1987,0.0014007288538873995,png,29
Paraguay,1987,4.0401803415815283e-4,pry,26
Peru,1987,0.0037460933827258903,per,26
Philippines,1987,0.012631197129435065,phl,29
Poland,1987,0.027335545072216992,pol,12
Portugal,1987,0.010198099261828854,prt,13
Puerto Rico,1987,0.0023453645288384903,pri,1
Qatar,1987,0.002801457707774799,qat,21
Reunion,1987,4.002082439678284e-4,reu,2
Romania,1987,0,rom,12
Rwanda,1987,4.002082439678284e-4,rwa,2
Saint Helena,1987,4.346261529490616e-5,shn,13
Saint Kitts and Nevis,1987,0,kna,9
Saint Lucia,1987,4.878538493967829e-5,lca,9
Saint Pierre and Miquelon,1987,0.0012006247319034853,spm,13
Saint Vincent/Grenadines,1987,0,vct,9
Samoa,1987,0,wsm,29
Sao Tome and Principe,1987,0,stp,5
Saudi Arabia,1987,0.136076812081854,sau,21
Senegal,1987,0.01054182165754897,sen,5
Serbia,1987,0,srb,15
Seychelles,1987,0.0028254942389440377,syc,29
Sierra Leone,1987,0.0034738796672342583,sle,5
Singapore,1987,0.34284506233243967,sgp,29
Slovakia,1987,0,svk,12
Slovenia,1987,0,svn,12
Solomon Islands,1987,1.7389048200402147e-4,slb,29
Somalia,1987,0.0016008329758713136,som,2
South Africa,1987,0.1301578162814289,zaf,24
Spain,1987,0.13495911338248434,esp,13
Sri Lanka,1987,0.020692448770318575,lka,27
Sudan,1987,0.0013208073877496798,sdn,2
Suriname,1987,2.001041219839142e-4,sur,25
Swaziland,1987,0,swz,4
Sweden,1987,0.03490104325773495,swe,13
Switzerland,1987,4.002082439678284e-4,che,16
Syria,1987,0.013807184416890083,syr,21
Taiwan,1987,0.03217890610281864,twn,30
Tajikistan,1987,0,tjk,10
Tanzania,1987,8.965626126126127e-4,tza,4
Thailand,1987,0.06118499009129774,tha,29
Timor-Leste (East Timor),1987,0,tls,29
Togo,1987,6.003123659517426e-4,tgo,5
