# For the SSP scenarios, SSP GDP projections are scaled to match 
# historical values in the base year (2010).  For the gSSP scenarios 
# IMF growth projections are applied from 2010-2020, and the SSP projections 
# are scaled to match the 2020 values resulting from this process.
GCAM_region_ID,year,value,scenario
17,2075,13104217.755240189,gSSP4
17,2076,13266310.863644049,gSSP4
17,2077,13428403.972047912,gSSP4
17,2078,13590497.080451773,gSSP4
17,2079,13752590.188855637,gSSP4
17,2080,13914683.297259497,gSSP4
17,2081,14059301.124648917,gSSP4
17,2082,14203918.952038337,gSSP4
17,2083,14348536.779427756,gSSP4
17,2084,14493154.606817177,gSSP4
17,2085,14637772.434206596,gSSP4
17,2086,14767558.960683383,gSSP4
17,2087,14897345.487160174,gSSP4
17,2088,15027132.013636965,gSSP4
17,2089,15156918.540113753,gSSP4
17,2090,15286705.066590544,gSSP4
17,2091,15402539.27436686,gSSP4
17,2092,15518373.482143173,gSSP4
17,2093,15634207.689919489,gSSP4
17,2094,15750041.897695802,gSSP4
17,2095,15865876.10547212,gSSP4
17,2096,15963994.956616832,gSSP4
17,2097,16062113.807761544,gSSP4
17,2098,16160232.65890626,gSSP4
17,2099,16258351.510050971,gSSP4
17,2100,16356470.361195685,gSSP4
17,2025,3105077.3184025837,gSSP5
17,2026,3382125.0032311934,gSSP5
17,2027,3659172.6880598026,gSSP5
17,2028,3936220.372888412,gSSP5
17,2029,4213268.057717022,gSSP5
17,2030,4490315.742545631,gSSP5
17,2031,4873576.033067963,gSSP5
17,2032,5256836.323590296,gSSP5
17,2033,5640096.614112629,gSSP5
17,2034,6023356.904634962,gSSP5
17,2035,6406617.195157293,gSSP5
17,2036,6878500.760139966,gSSP5
17,2037,7350384.3251226405,gSSP5
17,2038,7822267.890105313,gSSP5
17,2039,8294151.455087986,gSSP5
17,2040,8766035.020070657,gSSP5
17,2041,9312673.242795207,gSSP5
17,2042,9859311.465519754,gSSP5
17,2043,10405949.688244306,gSSP5
17,2044,10952587.910968853,gSSP5
17,2045,11499226.1336934,gSSP5
17,2046,12099600.498085521,gSSP5
17,2047,12699974.862477638,gSSP5
17,2048,13300349.226869753,gSSP5
17,2049,13900723.591261871,gSSP5
17,2050,14501097.955653988,gSSP5
17,2051,15147886.975251893,gSSP5
17,2052,15794675.994849797,gSSP5
17,2053,16441465.014447702,gSSP5
17,2054,17088254.034045607,gSSP5
17,2055,17735043.053643513,gSSP5
17,2056,18416095.29261336,gSSP5
17,2057,19097147.53158321,gSSP5
17,2058,19778199.770553052,gSSP5
17,2059,20459252.009522904,gSSP5
17,2060,21140304.24849275,gSSP5
17,2061,21836830.13907641,gSSP5
17,2062,22533356.029660076,gSSP5
17,2063,23229881.92024374,gSSP5
17,2064,23926407.8108274,gSSP5
17,2065,24622933.70141106,gSSP5
17,2066,25307632.61858367,gSSP5
17,2067,25992331.53575628,gSSP5
17,2068,26677030.452928882,gSSP5
17,2069,27361729.37010149,gSSP5
17,2070,28046428.2872741,gSSP5
17,2071,28701207.427930534,gSSP5
17,2072,29355986.56858697,gSSP5
17,2073,30010765.709243406,gSSP5
17,2074,30665544.849899843,gSSP5
