# Values are calculated using L1321.in_EJ_R_cement_F_Y then added GCAM region information and supplysector, subsector, technology, and input information
region,supplysector,subsector,stub.technology,year,minicam.energy.input,calibrated.value,share.weight.year,subs.share.weight,tech.share.weight
China,process heat cement,gas,gas,2015,wholesale gas,0,2015,0,0
China,process heat cement,refined liquids,refined liquids,1975,refined liquids industrial,0.0090865,1975,1,1
China,process heat cement,refined liquids,refined liquids,1990,refined liquids industrial,0.0575019,1990,1,1
China,process heat cement,refined liquids,refined liquids,2005,refined liquids industrial,0.2256805,2005,1,1
China,process heat cement,refined liquids,refined liquids,2010,refined liquids industrial,0.3576072,2010,1,1
China,process heat cement,refined liquids,refined liquids,2015,refined liquids industrial,0.3576072,2015,1,1
EU-12,process heat cement,biomass,biomass,1975,delivered biomass,0.0309079,1975,1,1
EU-12,process heat cement,biomass,biomass,1990,delivered biomass,0.0244247,1990,1,1
EU-12,process heat cement,biomass,biomass,2005,delivered biomass,0.0202098,2005,1,1
EU-12,process heat cement,biomass,biomass,2010,delivered biomass,0.0211401,2010,1,1
EU-12,process heat cement,biomass,biomass,2015,delivered biomass,0.0211401,2015,1,1
EU-12,process heat cement,coal,coal,1975,delivered coal,0.0603769,1975,1,1
EU-12,process heat cement,coal,coal,1990,delivered coal,0.0478482,1990,1,1
EU-12,process heat cement,coal,coal,2005,delivered coal,0.0394098,2005,1,1
EU-12,process heat cement,coal,coal,2010,delivered coal,0.0411891,2010,1,1
EU-12,process heat cement,coal,coal,2015,delivered coal,0.0411891,2015,1,1
EU-12,process heat cement,gas,gas,1975,wholesale gas,0.0103958,1975,1,1
EU-12,process heat cement,gas,gas,1990,wholesale gas,0.0100361,1990,1,1
EU-12,process heat cement,gas,gas,2005,wholesale gas,0.0058724,2005,1,1
EU-12,process heat cement,gas,gas,2010,wholesale gas,0.0056773,2010,1,1
EU-12,process heat cement,gas,gas,2015,wholesale gas,0.0056773,2015,1,1
EU-12,process heat cement,refined liquids,refined liquids,1975,refined liquids industrial,0.1158237,1975,1,1
EU-12,process heat cement,refined liquids,refined liquids,1990,refined liquids industrial,0.0920739,1990,1,1
EU-12,process heat cement,refined liquids,refined liquids,2005,refined liquids industrial,0.075457,2005,1,1
