# Future population calculated as final historical year (2010) population times ratio of SSP future years to SSP 2010
scenario,year,iso,value
SSP5,2063,prk,22007.189367625728
SSP5,2063,prt,13468.687905292245
SSP5,2063,pry,8029.198995278255
SSP5,2063,pse,4252.69903056718
SSP5,2063,pyf,306.8885287734367
SSP5,2063,qat,4627.317359362772
SSP5,2063,reu,1022.1639176892935
SSP5,2063,rom,14182.470112124607
SSP5,2063,rus,135658.65075811892
SSP5,2063,rwa,20054.76064708752
SSP5,2063,sau,59579.63727433213
SSP5,2063,sdn,59038.226076015904
SSP5,2063,sen,19185.449686429078
SSP5,2063,sgp,7055.534584947931
SSP5,2063,shn,5.864999999999999
SSP5,2063,slb,864.8247962269337
SSP5,2063,sle,12226.447725988472
SSP5,2063,slv,3346.867201203201
SSP5,2063,smr,33.272000000000006
SSP5,2063,som,13441.271839389383
SSP5,2063,spm,5.993
SSP5,2063,srb,8646.881576232894
SSP5,2063,stp,137.94058984104055
SSP5,2063,sur,561.8705540450572
SSP5,2063,svk,6395.647836748338
SSP5,2063,svn,2841.855509036499
SSP5,2063,swe,17611.339661694517
SSP5,2063,swz,1311.7654579578646
SSP5,2063,syc,94.978
SSP5,2063,syr,23943.162242525123
SSP5,2063,tca,35.980999999999995
SSP5,2063,tcd,25344.896339954284
SSP5,2063,tgo,10938.989231497888
SSP5,2063,tha,65322.83613522189
SSP5,2063,tjk,5066.700199855802
SSP5,2063,tkl,1.252
SSP5,2063,tkm,5466.43067447757
SSP5,2063,tls,1007.384155876206
SSP5,2063,ton,46.79299712148291
SSP5,2063,tto,986.0752441186565
SSP5,2063,tun,11649.249608711028
SSP5,2063,tur,86742.52393980554
SSP5,2063,tuv,11.099
SSP5,2063,twn,23557.477000000003
SSP5,2063,tza,89205.48954369339
SSP5,2063,uga,84052.14410763484
SSP5,2063,ukr,38230.859418767155
SSP5,2063,ury,2609.2007921672016
SSP5,2063,usa,536640.3854865293
SSP5,2063,uzb,27644.411389804744
SSP5,2063,vct,69.4597595241746
SSP5,2063,ven,36503.58181114995
SSP5,2063,vgb,29.152
SSP5,2063,vir,99.37994097936016
SSP5,2063,vnm,90522.20773406082
SSP5,2063,vut,401.4575736703835
SSP5,2063,wlf,12.266
